StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consumidor,Frequência,Lugar,Marcas,É consumidor,Como conheceu,Q44,Características,Falta na marca,Qualidades marcas,Classificação_1,Classificação_2,Classificação_3,Classificação_4,Classificação_5,Q42,Q34,Qualidade_NPS_GROUP,Qualidade,Diferencial,Pontos melhora,Q40,Q41,Lançamentos,Procura,Q30,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Frequencia uso,Preço,Utilização,ticket,idade,reg,sel
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Você é um(a) consumidor(a) de sapatos femininos ?,"Com qual frequência, em média, você compra novos sapatos, excluindo sapatos para esporte?",Qual é o meio de aquisição que você mais utiliza para comprar sapatos ?,"Falando sobre marcas, selecione quais das opções abaixo você conhece (não necessariamente precisa ser consumidor).",Você  já realizou a compra de algum produto da marca Paula Torres no último ano?,Como você conheceu a Paula Torres?,Qual canal você considera que mais influencia para a compra de novos sapatos?,"Apresentadas as características abaixo, escolha quais delas você associa a marca Paula Torres.","Pensando nas marcas de calçados que você atualmente prefere, o que as distingue da Paula Torres?","Diante das alternativas abaixo, selecione aquelas que você considera importante no momento de experimentar uma nova marca de sapatos.","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 1 é o menos importante e 5 é o mais importante. - Conforto","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 1 é o menos importante e 5 é o mais importante. - Qualidade do material","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 1 é o menos importante e 5 é o mais importante. - Preço","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 1 é o menos importante e 5 é o mais importante. - Design/Estilo","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 1 é o menos importante e 5 é o mais importante. - Durabilidade",Como você costuma pesquisar antes de comprar um novo par de sapatos?,Como você conheceu a Paula Torres?,Quão satisfeito(a) você está com a qualidade dos produtos ou serviços oferecidos pela Paula Torres? - Group,Quão satisfeito(a) você está com a qualidade dos produtos ou serviços oferecidos pela Paula Torres?,Indique os principais diferenciais dos produtos Paula Torres que o incentivam a consumir a marca novamente.,"A partir de sua experiência com a Paula Torres, selecione pontos os quais você acredita que podem ser melhorados.","Considerando as tendências da moda, você valoriza que a Paula Torres esteja atualizada com elas?","Avalie a capacidade de manter uma linha de lançamentos que acompanhe de perto as tendências da moda pela Paula Torres.(1: Não mantem , 5: Mantém muito)","Avalie a importância de lançamentos regulares pela Paula Torres (1: Pouco importante , 5: Muito importante)","Em um cenário em que você esteja buscando comprar um novo sapato, como você realiza a pesquisa?",Qual canal você considera que mais influencia para a compra de novos sapatos?,"Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 5 é o mais importante e 1 é o menos importante. - Conforto","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 5 é o mais importante e 1 é o menos importante. - Qualidade do material","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 5 é o mais importante e 1 é o menos importante. - Preço","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 5 é o mais importante e 1 é o menos importante. - Design/Estilo","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 5 é o mais importante e 1 é o menos importante. - Durabilidade",Com que regularidade você inclui os produtos da marca Paula Torres em sua rotina diária?,"Em uma escala de 1 a 5, onde 1 indica 'não justificável' e 5 indica 'totalmente justificável', como você avalia o valor dos produtos da Paula Torres em relação à qualidade oferecida comparativamente a outras marcas de calçados?",Em quais ocasiões você mais frequentemente utiliza os produtos da marca Paula Torres?,ticket,idade,reg,sel
"{""ImportId"":""startDate"",""timeZone"":""America/Sao_Paulo""}","{""ImportId"":""endDate"",""timeZone"":""America/Sao_Paulo""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Sao_Paulo""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID31""}","{""ImportId"":""QID66""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID30""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID59_2""}","{""ImportId"":""QID59_3""}","{""ImportId"":""QID59_4""}","{""ImportId"":""QID59_5""}","{""ImportId"":""QID64""}","{""ImportId"":""QID55""}","{""ImportId"":""QID17_NPS_GROUP""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID42""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID21""}","{""ImportId"":""QID54""}","{""ImportId"":""QID49""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID67_3""}","{""ImportId"":""QID67_4""}","{""ImportId"":""QID67_5""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID26""}","{""ImportId"":""ticket""}","{""ImportId"":""idade""}","{""ImportId"":""reg""}","{""ImportId"":""sel""}"
2024-05-21 14:37:04,2024-05-21 14:38:31,Survey Preview,,100,87,True,2024-05-21 14:38:32,R_7RuJGqQrHguDTjz,,,,,-23.6283,-46.6409,preview,EN,Sim,A cada 6 meses,Ambos na mesma proporção,"Tatiana Loureiro,Paula Torres,Alexandre Birman",Não,Colaborações com outras marcas,Influenciadores,"Elegante,Artesanal","Melhor relação custo-benefício,Estratégias de marketing mais atraente","Variedade de estilos e peças,Recomendações de amigos/familiares",5,4,3,2,1,"Procura pelo produto específico na internet,Assiste vídeos de reviews,Outros",,,,,,,,,,,,,,,,,,,,,,
2024-05-23 13:14:51,2024-05-23 13:17:31,IP Address,194.113.177.113,100,159,True,2024-05-23 13:17:32,R_2pa5cBUTsaCVlXR,,,,,51.2993,9.491,anonymous,EN,Sim,A cada 6 meses,Loja Física,"Arezzo,Schutz,Paula Torres,Outras",Sim,,,,,,,,,,,,Outro,Promoter,10,Outros,Outros,Sim,5,5,Outros,Outros,,,3,,,1 ou 2 vez(es) na semana,3,Eventos sociais (festas e celebrações),vcpcb7vioicuyzuy_0adc1c5cbd5af884_490f86279013663b_a176e9430cc6185e9cccafebc2b91c66,,,
2024-06-11 15:10:07,2024-06-11 15:13:39,IP Address,187.102.136.81,100,211,True,2024-06-11 15:13:39,R_53LHBVE1qVZ0jaF,,,,,-23.6283,-46.6409,anonymous,EN,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-11 15:13:51,2024-06-11 15:14:06,IP Address,187.102.136.81,100,15,True,2024-06-11 15:14:06,R_6gT2uuz7nCBTrop,,,,,-23.6283,-46.6409,anonymous,EN,Sim,Somente se os atuais não forem mais utilizáveis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-11 15:19:32,2024-06-11 15:21:37,IP Address,187.102.136.81,100,124,True,2024-06-11 15:21:38,R_7t2VUPUoIEPrb6X,,,,,-23.6283,-46.6409,anonymous,EN,Sim,A cada 6 meses,Ambos na mesma proporção,Paula Torres,Sim,,,,,,,,,,,,Recomendação de amigos/família,Promoter,10,Atualização de modelos,Diversificação de modelos,Sim,3,3,Acessa o site da marca diretamente,Rede Sociais,2,1,5,4,3,1 ou 2 vez(es) na semana,4,Eventos sociais (festas e celebrações),,,,
2024-06-13 10:38:32,2024-06-13 10:39:24,IP Address,194.113.177.113,100,51,True,2024-06-13 10:39:25,R_2q8rSBxqMBYC932,,,,,51.2993,9.491,anonymous,EN,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcpcb7vioicuyzuy_0adc1c5cbd5af884_490f86279013663b_a176e9430cc6185e9cccafebc2b91c66,,,
2024-06-13 17:56:37,2024-06-13 17:57:11,IP Address,190.47.8.66,100,33,True,2024-06-13 17:57:12,R_5frUZDkY3HIYThX,,,,,-33.4521,-70.6536,anonymous,EN,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcpcb7vioicuyzuy_0adc1c5cbd5af884_490f86279013663b_a176e9430cc6185e9cccafebc2b91c66,,,
2024-06-13 20:44:48,2024-06-13 20:46:45,Survey Preview,,100,116,True,2024-06-13 20:46:46,R_7CUxqg1zfW3I88G,,,,,-23.6283,-46.6409,preview,EN,Sim,A cada 6 meses,Online,Paula Torres,Sim,,,,,,,,,,,,Redes sociais,Promoter,10,Atualização de modelos,Sustentabilidade,Sim,1,4,Visita lojas físicas para experimentar pessoalmente,Recomendação,5,4,3,2,1,3 a 6 vezes na semana,1,Eventos sociais (festas e celebrações),,,,
2024-06-13 20:47:18,2024-06-13 20:48:58,Survey Preview,,100,100,True,2024-06-13 20:48:59,R_7va9BDXLO5TxlqF,,,,,-23.6283,-46.6409,preview,EN,Sim,A cada 6 meses,Ambos na mesma proporção,"Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos",Não,Redes sociais,Recomendação,"Sustentável,Desejável,Inovadora","Qualidade do produto,Presença mais forte nas redes sociais,Promoções e descontos mais frequentes","Promoções/descontos,Recomendações de amigos/familiares,Parceria com influenciadores e celebridades",2,3,4,1,5,"Procura pelo produto específico na internet,Visita lojas físicas para experimentar pessoalmente",,,,,,,,,,,,,,,,,,,,,,
2024-06-13 20:49:04,2024-06-13 20:49:26,Survey Preview,,100,21,True,2024-06-13 20:49:26,R_7rSVTkHcipVzNKF,,,,,-23.6283,-46.6409,preview,EN,Sim,Uma  vez por ano,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14 10:16:53,2024-06-14 10:16:57,IP Address,190.47.8.66,100,3,True,2024-06-14 10:16:57,R_72Sr1XZq1C5X4wx,,,,,-33.4521,-70.6536,anonymous,EN,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6y0v4pv1dfsc1zic_0adc1c5cbd5af884_490f86279013663b_8433a914637343f8e940e121a9a59a07,,,
2024-06-14 10:17:59,2024-06-14 10:18:05,IP Address,190.47.8.66,100,5,True,2024-06-14 10:18:06,R_3bQ0ZpLC3jTaPao,,,,,-33.4521,-70.6536,anonymous,EN,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 15:05:15,2024-06-18 15:05:40,IP Address,181.78.30.140,100,24,True,2024-06-18 15:05:40,R_1ZVMQdQ33jZGJgD,,,,,-33.4521,-70.6536,anonymous,EN,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oa2c6qq6k01xacjf_0adc1c5cbd5af884_490f86279013663b_2f3b466f3a56490613e8de513b998fcc,,,
2024-06-20 15:46:51,2024-06-20 15:47:31,Survey Preview,,100,39,True,2024-06-20 15:47:31,R_7WVJ7Ys0ST79xX9,,,,,-23.5335,-46.6359,preview,EN,Sim,Uma  vez por ano,Ambos na mesma proporção,"Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Não,Redes sociais,Rede Sociais,"Elegante,Inovadora,Versátil","Mais opções de estilo e design,Iniciativas de sustentabilidade mais atrativas,Não tem uma loja física perto","Avaliações e opiniões positivas de outros clientes,Publicidade criativa e atraente,Parceria com influenciadores e celebridades",5,4,3,2,1,"Procura pelo produto específico na internet,Acessa o site da marca diretamente (qual marca?),Visita lojas físicas para experimentar pessoalmente,Assiste vídeos de reviews",,,,,,,,,,,,,,,,,,,,,,
2024-06-20 15:49:32,2024-06-20 15:49:36,Survey Preview,,100,3,True,2024-06-20 15:49:36,R_7PZvy6WyA5vphtf,,,,,-23.5335,-46.6359,preview,EN,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-20 15:49:50,2024-06-20 15:50:23,Survey Preview,,100,33,True,2024-06-20 15:50:24,R_7HvH4V4VyxdKip9,,,,,-23.5335,-46.6359,preview,EN,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-20 15:54:07,2024-06-20 15:54:23,Survey Preview,,100,16,True,2024-06-20 15:54:23,R_733sCP4BPV867MV,,,,,-23.5335,-46.6359,preview,EN,Sim,Uma  vez por ano,Ambos na mesma proporção,Alexandre Birman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
