StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consumidor,Idade,Região,Classe,Frequência,Lugar,Marcas,É consumidor,Como conheceu,Q44,Características,Falta na marca,Qualidades marcas,Classificação_1,Classificação_2,Classificação_3,Classificação_4,Classificação_5,Q42,Q34,Qualidade_NPS_GROUP,Qualidade,Diferencial,Pontos melhora,Q40,Q41,Lançamentos,Procura,Q30,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Frequencia uso,Preço,Utilização
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Você é um(a) consumidor(a) de sapatos femininos ?,Selecione a faixa etária que contempla sua idade.,Selecione a região do Brasil em que você reside.,Selecione sua faixa salarial.,"Com qual frequência, em média, você compra novos sapatos, excluindo sapatos para esporte?",Qual é o meio de aquisição que você mais utiliza para comprar sapatos ?,"Falando sobre marcas, selecione quais das opções abaixo você conhece (não necessariamente precisa ser consumidor) ?",Você  já realizou a compra de algum produto da marca Paula Torres no último ano?,Como você conheceu a Paula Torres?,Qual canal você considera que mais influencia para a compra de novos sapatos?,"Apresentadas as características abaixo, escolha quais delas você associa a marca Paula Torres.","Pensando nas marcas de calçados que você atualmente prefere, o que as distingue da Paula Torres ?","Diante das alternativas abaixo, selecione aquelas que você considera importante no momento de experimentar uma nova marca de sapatos.","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 1 é o menos importante e 5 é o mais importante. - Conforto","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 1 é o menos importante e 5 é o mais importante. - Qualidade do material","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 1 é o menos importante e 5 é o mais importante. - Preço","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 1 é o menos importante e 5 é o mais importante. - Design/Estilo","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 1 é o menos importante e 5 é o mais importante. - Durabilidade",Como você costuma pesquisar antes de comprar um novo par de sapatos?,Como você conheceu a Paula Torres?,Quão satisfeito(a) você está com a qualidade dos produtos ou serviços oferecidos pela Paula Torres? - Group,Quão satisfeito(a) você está com a qualidade dos produtos ou serviços oferecidos pela Paula Torres?,Indique os principais diferenciais dos produtos Paula Torres que o incentivam a consumir a marca novamente.,"A partir de sua experiência com a Paula Torres, selecione pontos os quais você acredita que podem ser melhorados.","Considerando as tendências da moda, você valoriza que a Paula Torres esteja atualizada com elas?","Avalie a capacidade de manter uma linha de lançamentos que acompanhe de perto as tendências da moda pela Paula Torres.(1: Não mantem , 5: Mantém muito)","Avalie a importância de lançamentos regulares pela Paula Torres (1: Pouco importante , 5: Muito importante)","Em um cenário em que você esteja buscando comprar um novo sapato, como você realiza a pesquisa?",Qual canal você considera que mais influencia para a compra de novos sapatos?,"Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 5 é o mais importante e 1 é o menos importante. - Conforto","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 5 é o mais importante e 1 é o menos importante. - Qualidade do material","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 5 é o mais importante e 1 é o menos importante. - Preço","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 5 é o mais importante e 1 é o menos importante. - Design/Estilo","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 5 é o mais importante e 1 é o menos importante. - Durabilidade",Com que regularidade você inclui os produtos da marca Paula Torres em sua rotina diária?,"Em uma escala de 1 a 5, onde 1 indica 'não justificável' e 5 indica 'totalmente justificável', como você avalia o valor dos produtos da Paula Torres em relação à qualidade oferecida comparativamente a outras marcas de calçados?",Em quais ocasiões você mais frequentemente utiliza os produtos da marca Paula Torres?
"{""ImportId"":""startDate"",""timeZone"":""America/Sao_Paulo""}","{""ImportId"":""endDate"",""timeZone"":""America/Sao_Paulo""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Sao_Paulo""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID31""}","{""ImportId"":""QID66""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID30""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID59_2""}","{""ImportId"":""QID59_3""}","{""ImportId"":""QID59_4""}","{""ImportId"":""QID59_5""}","{""ImportId"":""QID64""}","{""ImportId"":""QID55""}","{""ImportId"":""QID17_NPS_GROUP""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID42""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID21""}","{""ImportId"":""QID54""}","{""ImportId"":""QID49""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID67_3""}","{""ImportId"":""QID67_4""}","{""ImportId"":""QID67_5""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID26""}"
2024-05-09 09:56:06,2024-05-09 09:56:40,IP Address,186.232.61.4,100,33,True,2024-05-09 09:56:40,R_1rke4QrSbOMh0s4,,,,,-23.6283,-46.6409,anonymous,EN,Sim,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Somente se os atuais não forem mais utilizáveis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 09:58:35,2024-05-09 09:58:46,IP Address,179.228.46.109,100,10,True,2024-05-09 09:58:46,R_7CDyvedX9Jau7so,,,,,-23.6283,-46.6409,anonymous,EN,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:02:05,2024-05-09 10:03:50,IP Address,191.56.48.112,100,105,True,2024-05-09 10:03:52,R_7v7X32mSpLTxzSh,,,,,-15.7783,-47.9319,anonymous,EN,Sim,45 a 54 anos,Centro-Oeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Luiza Barcellos,Alexandre Birman,Outras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:06:11,2024-05-09 10:06:58,IP Address,189.100.13.150,100,46,True,2024-05-09 10:06:58,R_3oovHwaKvAnZgdP,,,,,-23.5335,-46.6359,anonymous,EN,Sim,18 a 24 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Somente se os atuais não forem mais utilizáveis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:07:12,2024-05-09 10:07:32,IP Address,177.127.61.169,100,19,True,2024-05-09 10:07:32,R_2EsSuXK1GDHLPh6,,,,,-9.6497,-35.709,anonymous,EN,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:09:11,2024-05-09 10:11:14,IP Address,179.209.46.241,100,123,True,2024-05-09 10:11:15,R_11RGqreysQBjUHF,,,,,-23.5335,-46.6359,anonymous,EN,Sim,18 a 24 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Sim,,,,,,,,,,,,Recomendação de amigos/família,Promoter,10,"Atualização de modelos,Inovação",Preço,Sim,5,5,Procura pelo produto específico na internet,Influenciadores,4,2,3,5,1,1 ou 2 vez(es) na semana,3,Eventos sociais (festas e celebrações)
2024-05-09 10:12:44,2024-05-09 10:12:51,IP Address,186.232.61.4,100,6,True,2024-05-09 10:12:51,R_3YzVe988P1ZG3Ay,,,,,-23.6283,-46.6409,anonymous,EN,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:08:49,2024-05-09 10:14:05,IP Address,186.232.61.4,100,315,True,2024-05-09 10:14:06,R_7thU5JA1sggZz2j,,,,,-23.6283,-46.6409,anonymous,EN,Sim,18 a 24 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Sim,,,,,,,,,,,,Loja física,Detractor,5,"Design,Conforto,Trabalho artesanal,Atualização de modelos,Inovação","Qualidade dos produtos,Preço",Sim,5,4,"Procura pelo produto específico na internet,Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente",Influenciadores,2,4,1,5,3,1 ou 2 vez(es) por mês,2,"Lazer (encontros casuais, passeios, atividades de tempo livre)"
