StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Idade,Região,Classe,Frequência,Lugar,Marcas,Q34,Qualidade_NPS_GROUP,Qualidade,Diferencial,Pontos melhora,Q53,Q54,Lançamentos,Procura,Q30,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Frequencia uso,Preço,Utilização
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Selecione a faixa etária que contempla sua idade.,Selecione a região do Brasil em que você reside.,Selecione sua faixa salarial.,"Com qual frequência, em média, você compra novos sapatos, excluindo sapatos para esporte?",Qual é o meio de aquisição que você mais utiliza para comprar sapatos ?,"Falando sobre marcas, selecione quais das opções abaixo você conhece (não necessariamente precisa ser consumidor) ?",Como você conheceu a Paula Torres?,Quão satisfeito(a) você está com a qualidade dos produtos ou serviços oferecidos pela Paula Torres? - Group,Quão satisfeito(a) você está com a qualidade dos produtos ou serviços oferecidos pela Paula Torres?,Indique os principais diferenciais dos produtos Paula Torres que o incentivam a consumir a marca novamente.,"A partir de sua experiência com a Paula Torres, selecione pontos os quais você acredita que podem ser melhorados.","Considerando as tendências da moda, você valoriza que a Paula Torres esteja atualizada com elas?","Avalie a capacidade de manter uma linha de lançamentos que acompanhe de perto as tendências da moda pela Paula Torres.(1: Não mantem , 5: Mantém muito)","Avalie a importância de lançamentos regulares pela Paula Torres (1: Pouco importante , 5: Muito importante)","Em um cenário em que você esteja buscando comprar um novo sapato, como você realiza a pesquisa?",Qual canal você considera que é mais influente para a compra de novos sapatos?,"Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 1 é o menos importante e 5 é o mais importante. - Conforto","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 1 é o menos importante e 5 é o mais importante. - Qualidade do material","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 1 é o menos importante e 5 é o mais importante. - Preço","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 1 é o menos importante e 5 é o mais importante. - Design/Estilo","Classifique os seguintes aspectos em ordem de importância para você ao comprar um sapato, onde 1 é o menos importante e 5 é o mais importante. - Durabilidade",Com que regularidade você inclui os produtos da marca Paula Torres em sua rotina diária?,"Em uma escala de 1 a 5, onde 1 indica 'não justificável' e 5 indica 'totalmente justificável', como você avalia o valor dos produtos da Paula Torres em relação à qualidade oferecida comparativamente a outras marcas de calçados?",Em quais ocasiões você mais frequentemente utiliza os produtos da marca Paula Torres?
"{""ImportId"":""startDate"",""timeZone"":""America/Sao_Paulo""}","{""ImportId"":""endDate"",""timeZone"":""America/Sao_Paulo""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Sao_Paulo""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID55""}","{""ImportId"":""QID17_NPS_GROUP""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID42""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID21""}","{""ImportId"":""QID54""}","{""ImportId"":""QID49""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID67_3""}","{""ImportId"":""QID67_4""}","{""ImportId"":""QID67_5""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID26""}"
2024-06-11 18:32:07,2024-06-11 18:35:24,IP Address,187.89.90.138,100,197,True,2024-06-11 18:35:25,R_5I5lPt8Pzu27ALY,,,,,-23.4736,-47.4425,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Luiza Barcellos",Loja física,Promoter,9,"Qualidade dos produtos,Trabalho artesanal",Preço,Sim,5,3,Visita lojas físicas para experimentar pessoalmente,Rede Sociais,5,4,3,2,1,1 ou 2 vez(es) por mês,4,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-11 18:31:54,2024-06-11 18:37:38,IP Address,191.39.145.67,100,343,True,2024-06-11 18:37:39,R_6ezgn6vtLEPJZXe,,,,,-23.5335,-46.6359,anonymous,EN,25 a 34 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Promoter,10,"Qualidade dos produtos,Design,Conforto",Preço,Sim,4,5,Acessa o site da marca diretamente,Rede Sociais,5,3,4,2,1,1 ou 2 vez(es) na semana,5,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-11 18:37:22,2024-06-11 18:41:36,IP Address,189.102.194.223,100,253,True,2024-06-11 18:41:36,R_6tGsncBPdFmziyy,,,,,-23.5335,-46.6359,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Passive,8,Qualidade dos produtos,"Diversificação de modelos,Exclusividade",Sim,4,4,"Procura pelo produto específico na internet,Busca tendências de moda em redes sociais",Rede Sociais,4,5,2,3,1,1 ou 2 vez(es) na semana,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-11 18:43:24,2024-06-11 18:49:16,IP Address,172.225.206.116,100,351,True,2024-06-11 18:49:16,R_78O2CkyQIBDN1dv,,,,,-23.5335,-46.6359,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Loja física,Promoter,10,"Conforto,Trabalho artesanal",Qualidade dos produtos,Sim,5,5,Acessa o site da marca diretamente,Rede Sociais,5,4,3,2,1,3 a 6 vezes na semana,3,"Lazer (encontros casuais, passeios, atividades de tempo livre)"
2024-06-11 18:53:28,2024-06-11 18:57:03,IP Address,179.209.142.6,100,214,True,2024-06-11 18:57:03,R_1Rg2osZsAfFz6EN,,,,,-23.5335,-46.6359,anonymous,EN,25 a 34 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Passive,8,Conforto,"Design,Atualização de modelos,Preço,Diversificação de modelos",Sim,4,5,"Procura pelo produto específico na internet,Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente",Rede Sociais,5,4,3,2,1,1 ou 2 vez(es) por mês,3,Eventos sociais (festas e celebrações)
2024-06-11 18:45:43,2024-06-11 18:57:08,IP Address,200.173.202.187,100,684,True,2024-06-11 18:57:08,R_1kG7ouBfcLRMcvy,,,,,-25.4202,-49.2762,anonymous,EN,55 a 64 anos,Sul,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Alexandre Birman",Loja física,Promoter,10,"Qualidade dos produtos,Conforto,Atualização de modelos",Preço,Sim,4,4,Visita lojas físicas para experimentar pessoalmente,Outros,5,4,3,1,2,3 a 6 vezes na semana,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-11 18:56:21,2024-06-11 18:59:01,IP Address,187.127.166.17,100,160,True,2024-06-11 18:59:02,R_6dyEOo7my7RORzP,,,,,-22.8896,-43.1054,anonymous,EN,25 a 34 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Promoter,9,"Qualidade dos produtos,Conforto,Trabalho artesanal","Atualização de modelos,Preço,Diversificação de modelos",Sim,5,5,Acessa o site da marca diretamente,Rede Sociais,4,3,5,2,1,1 ou 2 vez(es) na semana,4,Eventos sociais (festas e celebrações)
2024-06-11 18:58:26,2024-06-11 19:04:34,IP Address,200.100.26.77,100,367,True,2024-06-11 19:04:34,R_5rxIN3x8yJCmXDZ,,,,,-20.7701,-49.3577,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Recomendação de amigos/família,Promoter,10,"Qualidade dos produtos,Design,Inovação","Qualidade dos produtos,Design,Inovação,Diversificação de modelos,Exclusividade",Sim,5,5,"Procura pelo produto específico na internet,Acessa o site da marca diretamente",Recomendação,3,4,2,5,1,1 ou 2 vez(es) na semana,4,Eventos sociais (festas e celebrações)
